Czas trwania meczu	Tryb wyszukiwanej gry
2019-02-02 21:04:16 GMT	Uproszczony
2019-02-02 17:50:57 GMT	Deathmatch
2019-02-02 17:40:04 GMT	Deathmatch
2019-02-02 13:59:31 GMT	Uproszczony
2019-02-02 13:57:25 GMT	Deathmatch
2019-02-02 13:40:42 GMT	Uproszczony
2019-02-02 12:11:09 GMT	Uproszczony
2019-02-02 10:43:53 GMT	Deathmatch
2019-02-02 10:33:03 GMT	Deathmatch
2019-02-02 10:22:12 GMT	Deathmatch
2019-02-01 21:47:26 GMT	Deathmatch
2019-02-01 21:36:36 GMT	Deathmatch
2019-02-01 21:25:42 GMT	Deathmatch
2019-01-31 19:32:46 GMT	Deathmatch
2019-01-30 21:16:26 GMT	Deathmatch
2019-01-30 21:05:35 GMT	Deathmatch
2019-01-29 21:44:11 GMT	Deathmatch
2019-01-29 19:12:42 GMT	Deathmatch
2019-01-29 19:01:52 GMT	Deathmatch
2019-01-27 20:30:56 GMT	Deathmatch
2019-01-27 20:20:06 GMT	Deathmatch
2019-01-27 17:44:00 GMT	Deathmatch
2019-01-27 12:58:04 GMT	Deathmatch
2019-01-27 12:49:23 GMT	Uproszczony
2019-01-27 12:47:14 GMT	Deathmatch
2019-01-27 11:33:47 GMT	Deathmatch
2019-01-27 11:22:53 GMT	Deathmatch
2019-01-27 11:12:03 GMT	Deathmatch
2019-01-27 11:01:12 GMT	Deathmatch
2019-01-26 21:24:17 GMT	Uproszczony
2019-01-26 21:06:59 GMT	Uproszczony
2019-01-26 20:44:55 GMT	Uproszczony
2019-01-26 16:23:35 GMT	Deathmatch
2019-01-26 16:12:40 GMT	Deathmatch
2019-01-26 16:03:09 GMT	Uproszczony
2019-01-26 11:01:16 GMT	Uproszczony
2019-01-26 10:30:05 GMT	Uproszczony
2019-01-25 22:09:09 GMT	Uproszczony
2019-01-25 21:51:27 GMT	Uproszczony
2019-01-25 21:26:07 GMT	Uproszczony
2019-01-25 19:45:50 GMT	Deathmatch
2019-01-24 20:58:38 GMT	Uproszczony
2019-01-24 20:34:30 GMT	Uproszczony
